time_step,datacenter_id,local_allocation,medium_allocation,remote_allocation,total_allocation,dc_available_margin
0.0,0.0,0.03638886546812058,0.05799725420965976,0.03319485905634745,0.1275809787341278,0.6766470963227431
0.0,1.0,0.028751635673297353,0.0784862424618418,0.03315839335709575,0.1403962714922349,0.7566989124873275
0.0,2.0,0.022582247834050093,0.05428688152696289,0.035595409249588476,0.11246453861060145,0.6117831641451875
0.0,3.0,0.02557348773074033,0.037554456937723406,0.028032788174059752,0.09116073284252349,0.4968058499802589
1.0,0.0,0.03801815059013942,0.058369067934672426,0.031125178726661713,0.12751239725147356,0.6675006598211042
1.0,1.0,0.028576796351373588,0.07256539398336645,0.028988196910487842,0.13013038724522788,0.6978325073706249
1.0,2.0,0.02150378007478991,0.04697184779627264,0.029723639050002477,0.09819926692106502,0.5353571302708771
1.0,3.0,0.025068610075362614,0.03489765476489274,0.025356926224716844,0.0853231910649722,0.46586781693230267
2.0,0.0,0.03604140480492372,0.055119674709740135,0.024052355463003532,0.1152134349776674,0.6171128601580526
2.0,1.0,0.02588081576727432,0.0625445667753506,0.024051129186415134,0.11247651172904007,0.5994680999668945
2.0,2.0,0.020837519169935058,0.03862829206517958,0.02533128703028099,0.08479709826539564,0.4435594868914203
2.0,3.0,0.023708754305257845,0.03172278385495809,0.022729554840056565,0.07816109300027249,0.42362940779493863
3.0,0.0,0.033209268506880954,0.04871186965310082,0.01881379869769412,0.1007349368576759,0.5337276148965439
3.0,1.0,0.022060733804832595,0.05036075569066042,0.01811916626827913,0.09054065576377214,0.48068492108279925
3.0,2.0,0.017335994421945104,0.030482267367456937,0.019358323088898687,0.06717658487830072,0.35101145416590035
3.0,3.0,0.021718671344321427,0.028167411292514998,0.019501604183744258,0.06938768682058068,0.37280212422573705
4.0,0.0,0.03199242311033444,0.04525251065665168,0.015277205140499656,0.09252213890748578,0.4855828446881067
4.0,1.0,0.019652687365476804,0.04275643536089836,0.014329614929805447,0.07673873765618061,0.4061465427875769
4.0,2.0,0.015510608427631987,0.026230566087525047,0.016012522986593537,0.05775369750175058,0.3013820424464802
4.0,3.0,0.021443265253735567,0.02735289427083477,0.017999737090440285,0.06679589661501063,0.35556951950202875
5.0,0.0,0.009914753767161034,0.013589575213485913,0.003973760736336617,0.027478089716983567,0.1430987971479164
5.0,1.0,0.005655383340265433,0.011832695596766071,0.0036831484568701387,0.02117122739390164,0.1118370392363262
5.0,2.0,0.00463375252242279,0.0076421998934157465,0.004446391344245961,0.016722343760084496,0.08717395166377723
5.0,3.0,0.006985985200964061,0.008881168600750234,0.005452505594661408,0.021319659396375704,0.11249176886808335
6.0,0.0,0.008623834236604963,0.011499733232401232,0.0029023686419047683,0.023025936110910958,0.07974356447089605
6.0,1.0,0.004611311168562595,0.009361784947794438,0.002704902341795564,0.016677998458152595,0.05890117740456414
6.0,2.0,0.00406897915224506,0.006631784360535309,0.003645459462386028,0.014346222975166398,0.05
6.0,3.0,0.006514062322218012,0.00834602150970884,0.004689758623843189,0.01954984245577004,0.06846603152465494
7.0,0.0,0.007696958680563478,0.00979789842438502,0.0020988735405863073,0.019593730645534803,0.05403143326739793
7.0,1.0,0.005109667248066285,0.009923460127289712,0.0026489579810957237,0.017682085356451722,0.05
7.0,2.0,0.0052513216066761535,0.008379147904997676,0.004293877719038681,0.017924347230712512,0.05
7.0,3.0,0.006313959759227874,0.008052761983150015,0.004033115024923085,0.018399836767300976,0.05122844915886731
8.0,0.0,0.008009829330138848,0.010088421113120326,0.0019474742213072657,0.020045724664566437,0.06033972129659434
8.0,1.0,0.004706897828292102,0.009125862241485148,0.0023152878140691,0.01614804788384635,0.05
8.0,2.0,0.00479844961681957,0.007828102957351549,0.003784158425843934,0.016410711000015052,0.05
8.0,3.0,0.00720561416279007,0.009506623087479873,0.0042832792013022085,0.02099551645157215,0.06351988044198538
9.0,0.0,0.027091880386896076,0.03304195154835015,0.005933025570079124,0.06606685750532534,0.2563707447936728
9.0,1.0,0.013554031481621912,0.025785566529886946,0.006356682541866167,0.04569628055337503,0.18286617629091229
9.0,2.0,0.016320465305141325,0.02683786730385433,0.01233730869038824,0.05549564129938389,0.21776739119227945
9.0,3.0,0.026793135442852677,0.03587927310141255,0.01456439416062536,0.07723680270489058,0.29968334579484057
10.0,0.0,0.027778037803477044,0.032193567436442555,0.0059126743429092,0.06588427958282879,0.264985864862414
10.0,1.0,0.014592400887764291,0.02668195880104415,0.00648045692864481,0.047754816617453254,0.19931187065690234
10.0,2.0,0.019102124574542776,0.031217654720097843,0.013413462883169238,0.06373324217780986,0.2614433663204535
10.0,3.0,0.03012438202819898,0.040168830325279674,0.014746270439136734,0.08503948279261538,0.34209139511075387
11.0,0.0,0.02800872995952345,0.03243090137081036,0.0063980219370591085,0.06683765326739292,0.2863123597043677
11.0,1.0,0.016017779545753768,0.029675221006283253,0.007115843996203056,0.05280884454824007,0.23497727954169453
11.0,2.0,0.02225487754212486,0.03786513022897029,0.015123486331317458,0.07524349410241261,0.32936194013510117
11.0,3.0,0.03326744532483479,0.04595934777395074,0.015572181382043608,0.09479897448082915,0.40344424627238323
12.0,0.0,0.027117554037752106,0.031806964226383065,0.006841301489180118,0.06576581975331529,0.3034971930013933
12.0,1.0,0.017386819086909845,0.03311475709867725,0.008050884708798006,0.0585524608943851,0.27897094377168263
12.0,2.0,0.024918512976189203,0.04442726549730346,0.017049350908884302,0.08639512938237696,0.403424948384489
12.0,3.0,0.03497806287501151,0.05010698073669973,0.016347084243699156,0.10143212785541039,0.457945302043604
13.0,0.0,0.02471753138009564,0.029823811963465622,0.007124907895937426,0.06166625123949868,0.3086770320103702
13.0,1.0,0.018059187613907464,0.035863248230275487,0.009109317205626992,0.06303175304980994,0.3216373581721655
13.0,2.0,0.02596179715897295,0.04877224154619177,0.01868845906271021,0.09342249776787491,0.4639482659142053
13.0,3.0,0.03399834740455868,0.050579728856990434,0.016625884083366432,0.10120396034491554,0.4852856567406093
14.0,0.0,0.023423966009219983,0.029500334468146934,0.007988530029868896,0.06091283050723582,0.33090398540907684
14.0,1.0,0.019492068296779425,0.04083464425101248,0.011167528227932438,0.07149424077572435,0.38891374494894065
14.0,2.0,0.027437302114055342,0.05450299782068779,0.021683378088826002,0.10362367802356914,0.5439091522716692
