解编号,总成本,平均时延/h,负载不均衡度,SLA违约率,CPU开机数序列,GPU开机数序列,时间迁移比例序列,空间迁移比例序列,总能耗/kWh,总碳排放/kg,任务完成率,时延敏感任务违约率,CPU平均利用率,GPU平均利用率,峰谷差/kW,Token总量,单位百万Token能耗/kWh,单位百万Token成本,功率上限违约时段数,峰时功率违约时段数,远端迁移任务数,远端任务完成率,远端执行成本,远端网络能耗/kWh,迁移平均时延/h,完成任务数,任务总数,约束惩罚项
0,144.00287802621546,0.5905709908004773,0.31605920902014645,0.11108627626285203,"2,9,5,9,2,15,4,14,5,7,14,5,12,4,8,9,18,12,14,8,13,5,2,12","4,3,5,3,5,5,4,7,4,4,2,0,1,3,4,1,0,0,1,1,0,2,3,4","0.1,0.7,0.9,0.4,0.0,0.8,0.8,0.4,0.0,0.9,0.6,0.1,0.0,0.1,0.3,1.0,0.1,0.5,0.9,0.8,0.8,0.5,0.9,0.2","0.2,0.4,0.4,0.2,0.3,0.0,0.2,0.0,0.1,0.2,0.1,0.6,0.0,0.2,0.6,0.2,0.2,0.5,0.1,0.4,0.2,0.2,0.1,0.0",179.50418035324674,106.94138707083117,0.8889137237371479,0.0,0.7433869938840921,0.6036159000721502,7.345179672727273,1824603.6589999998,98.37982044364999,78.92282650860095,0,0,69,0.46938775510204084,1.9664999999999992,0.345,0.11000000000000003,3977,4474,1.3800000000000001
31,144.46133005536538,0.5712010867443138,0.3388186895791396,0.11443898077782745,"2,9,5,9,2,13,4,14,6,19,3,5,12,10,8,9,12,12,9,8,14,18,2,12","4,3,5,4,5,5,4,7,4,4,2,0,1,4,4,1,0,0,1,0,0,2,1,4","0.1,0.3,0.9,0.7,0.0,0.9,0.2,0.7,0.0,0.8,0.4,0.1,0.6,0.1,0.3,1.0,0.1,0.6,0.4,0.5,0.9,0.1,0.8,0.2","0.5,0.3,0.4,0.2,0.1,0.0,0.5,0.4,0.1,0.2,0.1,0.6,0.5,0.4,0.1,0.2,0.3,0.5,0.1,0.4,0.4,0.2,0.1,0.0",180.26867887272726,107.20379912880519,0.8855610192221726,0.0,0.7208418626910108,0.5726837662337663,7.901618384415584,1813091.0270000005,99.42616018071949,79.67682146350688,0,0,79,0.4388888888888889,2.251499999999999,0.39499999999999996,0.11000000000000001,3962,4474,1.58
23,148.85069433109234,0.6735630534908282,0.2984344365827624,0.11801519892713455,"2,10,5,5,4,15,9,14,14,7,14,5,6,4,8,9,18,12,14,8,13,6,2,9","4,3,6,3,5,5,4,7,4,4,2,0,1,3,6,1,0,0,1,1,0,2,3,4","0.1,0.7,0.9,0.4,0.0,0.8,0.8,0.4,0.0,0.9,0.6,0.1,0.0,0.1,0.3,1.0,0.1,0.5,0.9,0.8,0.8,0.5,0.9,0.2","0.2,0.4,0.4,0.2,0.3,0.0,0.2,0.0,0.1,0.2,0.1,0.6,0.0,0.2,0.6,0.2,0.2,0.5,0.1,0.4,0.2,0.2,0.1,0.0",183.02596214025974,108.9953269432987,0.8819848010728655,0.0,0.6976355996805773,0.6014454455266954,9.0227162961039,1864971.4680000003,98.13874650668903,79.81392578124542,0,0,69,0.46938775510204084,1.9664999999999992,0.345,0.11000000000000003,3946,4474,1.3800000000000001
12,149.4396734338693,0.5068084122821178,0.4255491039789045,0.11175681716584712,"2,9,5,19,2,10,4,14,13,8,2,6,18,11,8,9,11,12,17,8,14,19,5,12","4,1,1,4,8,5,4,7,4,4,2,1,1,4,4,1,0,1,1,0,0,2,1,4","0.1,0.3,1.0,0.9,0.1,0.9,0.1,0.6,0.6,0.9,0.1,0.1,0.6,0.1,0.4,0.2,0.1,0.0,0.4,0.5,0.8,1.0,0.8,0.3","0.3,0.3,0.4,0.2,0.4,0.6,0.5,0.4,0.1,0.4,0.1,0.6,0.5,0.2,0.2,0.2,0.3,0.5,0.1,0.4,0.2,0.2,0.1,0.0",185.2805206909091,110.51375379664934,0.8882431828341529,0.0,0.6580413844513161,0.697732913961039,7.132938000000003,1838666.0270000002,100.76899119804594,81.27613783004286,0,0,79,0.3798076923076923,2.251499999999999,0.39499999999999996,0.11000000000000001,3974,4474,1.58
9,151.3914220975202,0.49231354667328425,0.39837260385865436,0.10974519445686187,"2,9,9,19,18,10,4,14,13,8,2,6,18,11,8,9,11,12,17,8,14,19,5,12","4,1,1,4,8,5,4,7,4,4,2,1,1,4,4,1,0,1,1,0,0,2,1,4","0.1,0.3,0.9,0.7,0.1,0.9,0.8,0.6,0.6,0.8,0.4,0.1,0.6,0.1,0.4,0.2,0.1,0.0,0.4,0.5,0.8,1.0,0.8,0.3","0.3,0.3,0.4,0.2,0.4,0.6,0.5,0.4,0.1,0.4,0.1,0.6,0.5,0.2,0.2,0.2,0.3,0.5,0.1,0.4,0.2,0.2,0.1,0.0",190.29693214545455,113.05998178397402,0.8902548055431382,0.0,0.6114777601126917,0.7016230654761904,6.713499090909095,1869408.0270000002,101.79528995114052,80.98361615600369,0,0,81,0.38571428571428573,2.3084999999999996,0.40499999999999997,0.11000000000000003,3983,4474,1.62
29,152.57029624969474,0.41994785523319567,0.37354328483821647,0.10572194903889137,"2,9,5,9,18,10,4,14,13,8,2,6,18,11,8,9,11,16,17,8,14,15,12,12","4,1,6,4,8,5,5,7,4,4,2,1,1,2,4,0,0,1,1,0,0,2,1,4","0.1,0.3,1.0,0.9,0.1,0.9,0.8,0.6,0.6,0.0,0.1,0.1,0.0,0.1,0.4,0.1,0.1,0.0,0.2,0.5,0.8,1.0,0.8,0.3","0.3,0.3,0.4,0.2,0.4,0.6,0.4,0.4,0.1,0.4,0.1,0.6,0.5,0.2,0.2,0.2,0.3,0.5,0.3,0.4,0.2,0.2,0.1,0.6",189.96117908051946,112.95755402371427,0.8942780509611086,0.0,0.604658058849511,0.642891562950938,6.424567392207793,1877990.6590000005,101.15129070006701,81.2412434100902,0,0,87,0.33079847908745247,2.479499999999999,0.43499999999999994,0.11000000000000003,4001,4474,1.74
32,155.27916721372384,0.41401830639579357,0.3982622854980233,0.10281627179257935,"2,9,9,19,18,10,4,14,13,8,14,6,18,11,8,8,15,12,9,8,14,12,12,12","4,1,1,4,8,8,4,7,4,4,2,1,1,4,4,1,0,1,1,0,0,2,1,4","0.1,0.3,0.9,0.7,0.0,0.9,0.8,0.6,0.6,0.7,0.4,0.4,0.6,0.1,0.4,0.2,0.1,0.0,0.4,0.5,0.8,0.4,0.8,0.3","0.3,0.5,0.4,0.2,0.4,0.6,0.1,0.4,0.1,0.4,0.1,0.6,0.0,0.2,0.2,0.2,0.3,0.5,0.1,0.4,0.2,0.4,0.1,0.0",194.35659289870128,115.37135164077921,0.8971837282074206,0.0,0.5804097234949678,0.7099681412337663,5.982074664935064,1910994.659,101.70441449606442,81.25567828377893,0,0,82,0.41,2.336999999999999,0.41,0.11000000000000004,4014,4474,1.6400000000000001
17,158.0770776849384,0.50752268253216,0.28545843597091286,0.09633437639696021,"2,10,2,19,18,10,2,14,6,16,2,17,12,4,8,15,12,12,17,6,14,15,3,9","2,7,6,4,8,5,5,7,4,4,5,1,1,3,4,2,0,1,1,0,0,0,6,4","0.1,0.8,0.9,0.5,0.8,0.9,0.8,0.1,0.0,0.8,0.4,0.4,0.0,0.1,0.9,0.1,0.1,0.6,0.1,1.0,0.4,0.5,1.0,1.0","0.3,0.5,0.5,0.0,0.2,0.2,0.3,0.4,0.1,0.4,0.1,0.6,0.5,0.4,0.6,0.6,0.2,0.1,0.1,0.4,0.4,0.2,0.1,0.6",199.1848231064935,118.34386179225974,0.9036656236030398,0.0,0.678116379466626,0.5947637130230881,7.152016015584417,2008210.6590000005,99.1852235291285,78.71538624521281,0,0,72,0.6545454545454545,2.1014999999999997,0.36000000000000004,0.11500000000000002,4043,4474,1.44
26,158.6710594449122,0.7523657082102908,0.16453391730429562,0.10013410818059902,"10,10,9,8,10,10,8,10,7,16,3,12,6,4,2,14,18,4,17,6,15,5,5,3","8,2,6,4,7,5,4,7,4,5,2,1,1,2,1,2,0,1,8,0,0,4,6,4","0.3,0.3,0.9,0.5,0.8,0.9,0.7,0.3,0.1,0.8,0.8,0.4,0.4,0.1,0.9,0.1,0.4,0.6,0.2,0.3,0.2,0.2,0.9,0.4","0.3,0.3,0.5,0.2,0.2,0.2,0.0,0.4,0.5,0.5,0.2,0.5,0.5,0.4,0.2,0.6,0.2,0.5,0.1,0.2,0.6,0.2,0.3,0.2",195.70607345454545,116.92143042974025,0.899865891819401,0.0,0.6958309053482505,0.6341571473665224,16.016465309090908,2167823.078,90.27769629387876,73.19373110064852,0,0,93,0.5375722543352601,2.650499999999999,0.46499999999999997,0.11000000000000004,4026,4474,1.86
10,158.72289197388463,0.7145678482794756,0.22052188916832752,0.11712114438980778,"2,9,5,9,9,10,8,10,13,8,2,6,4,11,8,9,11,16,17,8,15,4,3,3","4,1,5,4,8,5,5,7,4,4,2,1,1,2,4,2,4,1,1,0,5,2,1,0","0.3,0.3,1.0,0.9,0.1,0.9,0.8,0.3,0.5,0.0,0.1,0.4,0.0,0.1,0.4,0.1,0.2,0.0,0.2,0.5,0.2,0.2,0.8,0.4","0.3,0.3,0.4,0.2,0.4,0.6,0.4,0.4,0.1,0.4,0.2,0.1,0.5,0.2,0.2,0.2,0.2,0.5,0.3,0.4,0.2,0.2,0.1,0.6",185.7840605142857,111.64345750132466,0.8828788556101922,0.0,0.7287803023901139,0.7348132169913418,11.039172036363636,2032871.9020000002,91.38994952485977,78.0781572206927,0,0,85,0.40476190476190477,2.4224999999999985,0.425,0.11000000000000001,3950,4474,1.7
